persons,norps,facs,orgs,gpes,products,events,arts,laws,langs,dates,times,percents,moneys,ords,cards,quants,location,label_fake
2,0,0,12,0,0,0,0,0,0,9,2,0,0,2,2,1,0,0
0,0,0,8,3,0,0,0,0,0,18,5,4,0,1,3,1,0,0
2,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
2,0,0,2,2,0,0,0,0,0,1,0,0,0,2,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12,1,0,10,4,0,0,0,0,0,1,1,1,0,0,0,0,0,0
29,13,4,51,59,3,2,2,3,0,45,2,5,5,9,31,2,1,1
13,3,2,47,56,1,0,1,0,0,48,0,3,3,8,31,3,1,1
0,0,0,4,1,1,0,1,0,0,2,0,0,0,0,6,0,0,0
0,0,0,2,1,1,0,1,0,0,8,0,1,0,0,4,0,0,1
4,5,0,9,6,0,0,1,0,0,4,0,0,0,0,3,0,1,1
4,5,0,10,11,0,0,0,0,0,9,0,0,1,0,0,0,0,1
4,1,0,7,2,1,0,1,0,0,10,0,0,0,0,6,0,0,1
27,10,2,43,12,0,5,0,0,0,11,0,5,5,4,14,1,5,1
8,0,0,19,5,0,3,2,0,0,13,0,1,2,3,10,0,1,1
5,4,0,2,5,1,0,1,0,0,29,0,3,0,1,12,0,2,0
11,8,0,28,21,0,0,1,0,0,10,0,0,4,0,5,1,0,1
16,4,3,23,25,0,0,3,0,0,15,4,2,1,1,9,0,2,1
0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,1
10,10,0,15,36,0,0,0,0,0,14,0,14,2,0,4,0,0,1
3,3,0,13,5,0,0,0,2,0,6,0,0,0,0,6,0,0,1
0,0,0,1,1,0,0,0,0,0,2,0,3,0,0,2,0,0,1
0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26,1,0,16,19,3,1,1,0,0,33,8,7,0,1,27,7,2,1
12,12,0,23,22,0,2,2,0,0,9,2,0,0,3,10,0,1,1
2,1,0,6,7,0,0,0,0,0,4,0,0,0,0,0,0,0,1
29,35,0,81,43,3,2,1,0,0,23,0,0,0,2,8,1,3,1
0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
11,3,0,16,7,0,0,3,0,0,6,0,0,0,2,8,0,2,0
15,13,1,22,15,0,0,0,0,0,12,1,6,4,4,5,0,1,1
13,4,0,3,11,0,1,0,0,0,8,0,0,0,0,3,0,1,1
4,0,0,14,16,0,2,1,0,0,17,0,0,0,3,8,0,0,1
3,0,0,6,10,0,0,0,0,0,4,0,0,0,0,11,1,2,1
23,4,0,28,15,4,0,0,0,0,14,0,2,1,1,22,5,1,1
1,0,0,3,6,0,0,0,0,0,2,1,2,0,1,5,0,0,0
15,10,0,66,107,1,0,3,0,0,72,4,10,0,9,54,1,4,0
6,2,0,14,3,0,0,1,0,0,4,0,4,0,0,10,0,0,1
8,0,0,15,0,0,0,1,0,0,9,0,1,0,2,1,0,0,1
6,6,1,14,11,0,0,0,0,0,11,0,0,0,2,8,0,0,1
4,5,1,21,15,0,0,2,0,0,13,0,0,1,5,12,0,0,1
16,0,0,2,3,1,0,0,0,0,7,1,4,0,0,16,0,0,1
12,1,0,7,4,0,0,0,0,0,5,1,2,1,2,6,0,0,1
13,3,0,4,5,0,0,0,0,0,5,1,2,1,0,8,0,0,1
4,0,0,9,1,0,0,0,0,0,10,0,3,0,1,8,0,0,1
13,0,0,0,6,2,0,0,0,0,1,0,2,0,1,8,0,0,1
7,1,0,2,5,0,0,0,0,0,2,1,3,0,0,5,0,0,1
8,1,1,21,25,0,0,0,0,0,15,1,1,0,2,5,4,0,0
0,4,0,7,14,0,0,0,0,1,4,0,2,0,0,4,0,1,1
3,1,0,18,13,2,0,1,0,0,14,0,7,1,4,23,0,0,1
5,2,3,15,23,0,0,0,0,0,8,1,0,0,0,8,0,0,1
2,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,1
27,1,1,39,33,5,0,3,0,0,45,1,24,0,6,37,1,0,1
11,0,0,20,2,1,0,0,0,0,15,0,8,0,0,11,0,0,0
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
11,5,0,16,16,0,0,0,0,0,26,0,0,0,0,18,0,0,1
11,3,0,14,9,4,0,0,0,0,11,0,2,0,1,9,0,1,1
11,0,0,16,1,1,0,0,0,0,13,0,8,0,1,11,0,0,0
16,2,0,48,10,7,0,0,0,0,22,4,3,0,0,21,2,0,1
9,0,0,0,2,0,0,0,0,0,1,2,1,0,0,6,0,0,1
2,2,0,6,15,0,0,2,0,0,7,1,0,0,0,5,0,2,1
26,22,0,50,48,0,0,3,0,0,41,1,0,2,6,42,1,1,1
7,3,0,8,2,0,0,3,0,0,9,0,2,0,1,10,0,0,1
14,35,0,55,95,1,0,1,0,0,33,1,11,2,3,22,0,2,1
23,33,0,76,93,1,1,0,1,0,26,2,10,5,2,32,0,1,1
38,10,1,30,49,1,0,1,0,0,48,5,2,1,3,19,7,5,1
2,4,0,22,64,0,4,1,1,0,15,1,5,0,4,50,1,6,1
17,1,0,31,4,5,0,0,0,0,25,6,4,1,0,24,1,1,1
19,7,0,52,27,1,3,1,3,0,16,1,1,3,4,41,0,1,1
3,0,0,4,3,0,0,2,0,0,2,0,0,0,0,9,0,0,1
10,0,0,12,4,0,0,1,0,0,1,0,3,1,0,2,0,0,1
2,1,1,11,41,0,1,1,0,0,6,0,0,0,2,13,1,1,1
0,2,1,7,3,0,0,0,0,0,3,2,0,1,0,3,1,0,1
11,1,1,14,8,0,0,2,0,0,10,1,0,0,0,12,1,0,1
9,2,0,18,7,1,0,0,0,0,12,2,2,1,1,9,0,1,1
3,1,0,4,3,1,0,0,0,0,3,0,1,0,0,5,0,2,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,0,0,10,7,0,0,2,0,0,4,0,0,0,0,3,0,2,1
11,8,0,21,17,0,1,0,0,0,13,0,0,0,1,1,0,3,1
10,6,0,12,12,0,1,1,0,0,6,0,1,0,3,0,0,0,1
2,1,0,2,10,0,0,0,0,0,0,2,0,0,2,0,0,1,1
5,1,0,8,10,0,0,0,0,0,0,1,0,0,1,4,0,1,1
6,3,1,14,2,5,1,0,0,0,7,0,0,0,3,6,1,0,1
6,3,1,14,2,5,1,0,0,0,7,0,0,0,3,6,1,0,1
5,1,0,8,10,0,0,0,0,0,0,1,0,0,1,4,0,1,1
2,1,0,2,10,0,0,0,0,0,0,2,0,0,2,0,0,1,1
10,6,0,12,12,0,1,1,0,0,6,0,1,0,3,0,0,0,1
11,8,0,21,17,0,1,0,0,0,13,0,0,0,1,1,0,3,1
13,0,0,10,7,0,0,2,0,0,4,0,0,0,0,3,0,2,1
13,0,0,10,7,0,0,2,0,0,4,0,0,0,0,3,0,2,1
11,8,0,21,17,0,1,0,0,0,13,0,0,0,1,1,0,3,1
5,1,0,8,10,0,0,0,0,0,0,1,0,0,1,4,0,1,1
5,1,0,8,10,0,0,0,0,0,0,1,0,0,1,4,0,1,1
11,8,0,21,17,0,1,0,0,0,13,0,0,0,1,1,0,3,1
6,3,1,14,2,5,1,0,0,0,7,0,0,0,3,6,1,0,1
13,0,0,10,7,0,0,2,0,0,4,0,0,0,0,3,0,2,1
11,8,0,21,17,0,1,0,0,0,13,0,0,0,1,1,0,3,1
10,6,0,12,12,0,1,1,0,0,6,0,1,0,3,0,0,0,1
11,8,0,21,17,0,1,0,0,0,13,0,0,0,1,1,0,3,1
6,0,0,4,0,2,0,3,0,0,1,0,0,0,0,1,0,0,1
5,2,1,14,14,0,0,0,0,0,6,0,0,0,1,3,0,0,1
4,0,0,11,7,0,0,0,0,0,6,0,1,0,2,4,0,0,1
13,9,0,11,8,1,0,3,0,0,9,2,0,1,1,3,0,0,1
19,0,0,5,1,0,0,2,0,0,3,0,0,0,1,3,0,0,1
12,4,1,17,12,1,0,0,0,0,3,0,0,0,1,3,0,0,1
13,6,1,24,23,0,2,0,0,0,4,0,2,0,0,4,2,1,1
2,0,0,4,5,0,0,0,0,0,0,0,0,0,1,4,0,0,1
19,6,0,51,26,1,3,1,3,0,13,1,1,3,4,45,0,1,1
12,5,1,24,16,0,0,2,0,0,24,2,1,3,3,20,0,1,1
8,2,1,34,48,1,2,0,0,0,25,0,0,0,0,39,1,0,1
0,2,0,4,2,0,0,2,0,0,6,0,6,0,0,5,0,0,1
2,1,0,19,7,0,0,0,0,0,6,3,0,2,1,10,0,0,1
11,14,1,44,78,0,2,4,0,0,25,1,10,0,5,23,0,4,1
6,0,0,4,6,0,0,0,0,0,8,0,4,0,0,17,0,2,1
10,1,0,2,4,0,0,0,0,0,2,2,1,1,0,6,0,0,1
5,14,0,12,38,0,0,0,0,0,9,0,0,0,0,10,0,3,1
7,17,0,12,46,0,1,2,0,0,10,0,0,0,1,4,0,1,1
3,3,0,13,5,0,0,0,2,0,6,0,0,0,0,6,0,0,1
25,14,1,97,64,1,7,5,1,0,84,0,3,5,5,49,0,6,1
3,12,0,6,21,0,2,2,0,0,10,0,0,0,1,4,0,0,1
10,14,9,32,43,0,2,0,0,0,18,0,0,0,1,11,0,6,1
11,2,0,12,11,0,0,1,0,0,2,0,0,0,0,3,0,1,1
20,11,1,31,16,2,0,0,0,0,19,0,2,1,3,8,0,1,1
4,12,0,18,67,0,0,1,0,0,21,2,5,4,0,22,2,5,1
0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1
26,19,0,69,51,3,3,5,1,0,30,1,2,1,2,16,5,2,1
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
44,22,0,54,28,1,0,1,0,0,45,1,3,5,10,43,0,0,0
15,1,0,23,16,2,0,0,0,0,29,1,1,0,6,32,0,0,0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1
3,1,0,10,4,0,0,0,0,0,1,0,2,0,0,3,0,1,1
0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,4,0,0,1
8,18,0,17,18,1,0,1,0,0,8,0,0,0,1,2,1,0,1
32,37,0,83,43,3,2,1,1,0,23,0,0,0,2,8,1,4,1
20,16,3,36,25,0,1,6,1,0,11,0,0,0,3,7,0,2,1
17,18,1,34,16,1,0,2,0,0,7,0,0,0,0,0,0,1,1
4,3,0,11,11,0,0,1,0,0,3,0,2,0,1,6,3,1,1
18,11,3,21,15,1,0,0,0,0,16,1,1,1,2,10,1,0,1
38,25,3,79,62,2,3,0,0,0,56,1,9,6,3,41,1,0,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1
9,2,0,5,2,0,0,1,0,0,7,0,0,0,1,14,0,1,0
15,0,0,8,2,0,0,0,0,0,12,0,0,0,1,2,0,0,0
16,2,0,5,18,1,0,0,0,0,12,0,0,0,2,4,0,2,0
19,6,0,16,10,0,0,2,0,0,13,2,0,0,2,7,0,1,0
26,2,1,13,33,1,0,0,0,0,14,2,0,0,5,15,0,2,0
14,4,0,37,11,0,0,0,0,0,31,2,0,0,1,18,0,2,0
13,0,5,33,23,0,0,0,0,0,21,0,0,4,9,20,0,0,0
8,4,0,20,32,0,0,0,0,0,7,0,0,0,3,8,0,1,0
11,0,0,14,19,0,2,1,0,0,15,0,0,0,1,18,0,0,0
12,1,0,29,10,0,0,1,0,0,9,0,1,0,1,7,1,0,0
20,10,1,50,24,3,0,1,0,0,22,0,5,0,4,19,4,1,0
10,2,0,8,2,0,0,0,0,0,2,2,0,0,0,4,2,0,0
8,15,0,12,15,1,0,0,0,0,5,0,0,0,3,4,1,1,0
20,13,0,10,19,3,0,0,0,0,2,0,0,0,0,6,0,2,0
0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1
0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0
7,2,0,20,20,1,0,0,0,0,20,0,3,0,2,10,2,1,0
9,2,0,3,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,2,7,1,0,0,0,0,2,0,0,0,1,0,0,0,0
4,2,1,3,1,0,0,0,0,0,4,0,0,3,1,6,0,1,0
10,3,0,11,2,0,0,0,0,0,4,0,0,1,0,7,0,0,0
5,0,0,10,0,0,0,0,0,0,7,0,0,0,2,1,0,0,0
5,2,0,14,3,0,0,0,0,0,4,0,2,0,0,9,0,0,1
5,5,6,42,35,0,0,0,0,0,21,0,0,2,2,15,0,0,1
2,4,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,4,0,14,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12,16,1,19,40,0,0,0,0,0,31,2,4,0,4,27,0,3,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,3,0,15,4,1,0,0,0,0,4,0,2,0,0,16,0,0,0
9,0,0,19,4,0,0,2,0,0,8,0,8,0,3,8,0,1,1
16,22,1,15,27,3,2,5,0,0,24,2,0,0,4,8,0,8,1
3,0,0,9,8,1,0,0,0,0,17,0,0,0,3,4,0,0,1
17,11,0,75,24,0,6,3,1,0,15,0,6,6,1,14,2,12,1
3,2,0,4,5,0,0,1,0,0,19,1,2,0,1,8,0,1,1
0,0,0,8,2,0,0,0,0,0,6,0,4,0,0,10,0,1,0
0,0,0,17,12,0,0,0,0,0,16,0,2,0,1,7,0,0,0
6,3,0,36,33,4,0,0,0,0,65,0,0,0,3,48,0,3,0
