persons,norps,facs,orgs,gpes,products,events,arts,laws,langs,dates,times,percents,moneys,ords,cards,quants,location,label_fake
10,0,0,0,4,0,0,0,0,0,1,0,0,0,1,11,0,0,1
6,1,0,2,6,0,0,0,0,0,4,0,0,0,0,5,0,0,1
8,1,0,7,10,0,0,0,0,0,12,0,0,0,2,5,3,0,0
1,6,0,9,10,0,0,1,0,0,4,0,1,0,0,3,0,0,1
3,1,0,15,12,0,0,1,0,0,13,0,1,0,3,26,0,3,1
2,3,1,14,15,0,0,1,0,0,7,1,0,0,0,3,0,0,1
2,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,1
29,2,0,40,23,6,0,2,0,0,19,0,5,0,7,47,0,1,1
7,0,0,15,2,0,0,0,2,0,9,0,0,0,1,18,0,2,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
13,5,0,20,12,0,0,0,0,0,8,0,0,0,1,10,1,0,1
11,3,0,18,8,0,0,0,0,0,7,0,0,0,1,10,0,3,1
6,0,0,17,1,0,0,0,2,0,6,0,0,0,0,17,0,1,0
9,2,1,24,4,1,1,2,0,0,16,4,3,1,0,17,1,1,1
5,0,0,2,2,0,0,0,0,0,2,2,0,0,0,7,0,0,1
1,2,0,4,14,1,0,1,0,0,5,0,0,0,1,2,0,0,1
20,21,0,40,40,0,0,1,0,0,31,2,0,1,6,38,1,1,1
8,1,1,16,3,0,1,0,0,0,6,0,0,0,1,11,0,0,1
20,38,1,54,82,0,0,1,0,0,31,1,0,0,5,26,0,4,1
22,34,2,51,96,2,2,1,0,0,21,2,0,0,3,41,0,2,1
45,14,1,20,38,2,1,1,0,0,34,4,0,1,3,19,6,5,1
5,5,0,15,53,0,2,1,0,0,11,2,1,0,4,48,0,8,1
9,2,1,22,5,2,0,1,0,0,19,5,0,1,0,22,1,1,1
17,5,0,54,21,0,3,1,2,0,14,1,0,0,4,42,2,2,1
3,0,1,6,3,0,0,1,0,0,1,0,0,0,0,6,0,0,1
9,1,1,7,3,0,0,0,0,0,1,0,1,0,0,5,0,0,1
2,0,2,11,32,0,2,2,0,0,5,0,0,0,3,13,0,3,1
0,2,1,8,3,0,0,0,0,0,3,2,0,1,0,3,0,0,1
8,1,0,13,5,0,0,0,0,0,8,1,0,0,0,10,0,0,1
8,4,0,17,7,0,0,2,0,0,12,2,0,0,1,7,0,2,1
4,1,0,3,2,0,0,0,0,0,3,0,0,0,0,4,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,0,0,11,7,1,0,0,2,0,4,0,0,0,0,1,0,1,1
6,8,0,17,13,2,0,0,0,0,8,0,0,0,1,3,0,2,1
12,4,0,10,12,0,1,0,0,0,5,0,1,0,3,1,0,1,1
1,1,0,4,9,0,0,0,0,0,0,3,0,0,1,0,0,0,1
4,0,0,9,4,1,0,0,0,0,1,1,0,0,1,3,0,2,1
4,4,0,16,1,3,0,0,1,0,6,0,0,0,3,5,1,0,1
4,4,0,16,1,3,0,0,1,0,6,0,0,0,3,5,1,0,1
4,0,0,9,4,1,0,0,0,0,1,1,0,0,1,3,0,2,1
1,1,0,4,9,0,0,0,0,0,0,3,0,0,1,0,0,0,1
12,4,0,10,12,0,1,0,0,0,5,0,1,0,3,1,0,1,1
6,8,0,17,13,2,0,0,0,0,8,0,0,0,1,3,0,2,1
15,0,0,11,7,1,0,0,2,0,4,0,0,0,0,1,0,1,1
15,0,0,11,7,1,0,0,2,0,4,0,0,0,0,1,0,1,1
6,8,0,17,13,2,0,0,0,0,8,0,0,0,1,3,0,2,1
4,0,0,9,4,1,0,0,0,0,1,1,0,0,1,3,0,2,1
4,0,0,9,4,1,0,0,0,0,1,1,0,0,1,3,0,2,1
6,8,0,17,13,2,0,0,0,0,8,0,0,0,1,3,0,2,1
4,4,0,16,1,3,0,0,1,0,6,0,0,0,3,5,1,0,1
15,0,0,11,7,1,0,0,2,0,4,0,0,0,0,1,0,1,1
6,8,0,17,13,2,0,0,0,0,8,0,0,0,1,3,0,2,1
12,4,0,10,12,0,1,0,0,0,5,0,1,0,3,1,0,1,1
6,8,0,17,13,2,0,0,0,0,8,0,0,0,1,3,0,2,1
3,0,1,6,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1
3,2,0,10,9,1,0,2,0,0,5,0,0,0,1,3,0,0,1
3,0,0,8,6,1,0,0,0,0,4,0,1,0,2,2,0,0,1
7,12,0,13,6,1,0,0,0,0,4,0,0,0,2,5,0,0,1
8,0,0,12,0,0,0,1,0,0,3,1,0,0,1,9,0,0,1
14,3,0,15,12,0,0,0,1,0,2,0,0,0,1,2,0,0,1
8,5,0,28,22,0,1,0,0,0,5,0,0,1,0,6,2,0,1
2,0,0,3,5,0,0,0,0,0,0,0,0,0,1,4,0,0,1
18,4,0,55,20,0,3,1,2,0,11,1,0,0,4,46,2,2,1
11,6,1,21,13,1,0,0,1,0,21,1,0,2,3,19,0,1,1
7,3,0,28,43,0,1,1,0,0,21,0,0,0,0,25,1,1,1
1,3,0,4,2,0,0,0,0,0,4,0,0,0,0,8,0,0,1
2,0,0,24,9,0,0,1,0,0,5,3,0,1,1,8,0,0,1
10,13,2,39,64,0,3,2,1,0,27,1,0,0,5,24,0,4,1
5,0,0,4,4,0,0,0,0,0,7,0,0,0,0,19,0,0,1
6,1,0,4,4,0,0,0,0,0,2,2,0,1,0,7,0,0,1
6,18,1,13,27,1,0,0,0,0,9,0,0,0,0,12,0,2,1
7,15,0,13,33,0,0,2,0,0,8,0,0,0,1,4,0,1,1
3,2,0,13,3,0,0,0,1,0,5,0,0,0,0,5,0,0,1
22,16,0,75,46,1,4,2,2,0,59,0,0,2,6,44,1,4,1
5,14,0,7,19,0,1,0,0,0,9,0,0,0,1,4,0,0,1
7,10,3,32,38,0,5,0,0,0,19,0,0,0,1,10,0,5,1
11,2,0,9,7,0,1,1,0,0,1,0,0,0,0,1,1,0,1
25,11,2,28,10,0,0,2,0,0,17,0,0,1,2,10,0,0,1
4,11,0,23,62,1,0,1,0,0,11,2,0,1,0,24,2,3,1
0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1
26,22,3,67,41,4,1,3,0,0,24,1,0,0,4,19,6,2,1
1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45,22,0,54,22,1,0,0,1,0,35,1,3,2,9,36,0,0,0
11,1,0,28,11,2,0,0,0,0,19,1,1,1,6,30,0,1,0
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
7,2,0,9,1,0,0,0,0,0,1,0,2,0,0,3,0,0,1
0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,3,0,0,1
5,18,0,17,7,2,0,2,0,0,7,0,0,0,1,1,1,0,1
23,35,2,74,17,2,1,0,1,0,22,0,0,0,2,7,1,3,1
20,16,2,33,22,4,4,3,0,0,9,0,0,0,3,8,0,0,1
16,19,2,29,7,2,0,1,0,0,4,0,0,0,0,0,0,0,1
4,2,1,9,9,1,0,1,0,0,2,0,0,0,1,8,3,0,1
18,12,0,24,12,3,0,0,0,1,14,0,0,0,2,9,0,1,1
35,25,0,76,52,3,1,1,2,1,56,0,0,4,3,36,0,1,1
